Statistical profiling result from sinConsoleLog.log, (5004 ticks, 10 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  LazyCompile: *<anonymous> /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/express-handlebars/dist/express-handlebars.js:98:47
      1    0.0%    0.1%  LazyCompile: *<anonymous> /home/leopoldo/CoderHouse/backend/backend_entregables/clase 16 - Logs debug profiling/node_modules/express-handlebars/dist/express-handlebars.js:20:46
      1    0.0%    0.1%  Function: *wasm-function[30]

 [C++]:
   ticks  total  nonlib   name
    215    4.3%   19.4%  __write
    199    4.0%   17.9%  __pthread_cond_signal
     70    1.4%    6.3%  epoll_pwait
     47    0.9%    4.2%  __GI___pthread_mutex_unlock
     28    0.6%    2.5%  __libc_read
     16    0.3%    1.4%  __libc_malloc
      9    0.2%    0.8%  __pthread_cond_timedwait
      7    0.1%    0.6%  __mprotect
      6    0.1%    0.5%  __lll_lock_wait
      5    0.1%    0.5%  __libc_free
      5    0.1%    0.5%  _IO_fwrite
      4    0.1%    0.4%  do_futex_wait.constprop.0
      4    0.1%    0.4%  __madvise
      4    0.1%    0.4%  __libc_write
      3    0.1%    0.3%  operator new(unsigned long)
      3    0.1%    0.3%  __pthread_cond_broadcast
      3    0.1%    0.3%  __dynamic_cast
      3    0.1%    0.3%  __GI___pthread_mutex_lock
      3    0.1%    0.3%  _IO_file_xsputn
      2    0.0%    0.2%  std::ostream::sentry::sentry(std::ostream&)
      2    0.0%    0.2%  std::ostream& std::ostream::_M_insert<long>(long)
      2    0.0%    0.2%  std::locale::locale()
      2    0.0%    0.2%  std::basic_stringbuf<char, std::char_traits<char>, std::allocator<char> >::underflow()
      2    0.0%    0.2%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
      2    0.0%    0.2%  std::basic_istream<char, std::char_traits<char> >& std::getline<char, std::char_traits<char>, std::allocator<char> >(std::basic_istream<char, std::char_traits<char> >&, std::basic_string<char, std::char_traits<char>, std::allocator<char> >&, char)
      2    0.0%    0.2%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
      2    0.0%    0.2%  posix_memalign
      2    0.0%    0.2%  operator new[](unsigned long)
      2    0.0%    0.2%  epoll_ctl
      2    0.0%    0.2%  brk
      2    0.0%    0.2%  accept4
      2    0.0%    0.2%  __munmap
      2    0.0%    0.2%  __errno_location
      2    0.0%    0.2%  __cxxabiv1::__vmi_class_type_info::__do_dyncast(long, __cxxabiv1::__class_type_info::__sub_kind, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info::__dyncast_result&) const
      2    0.0%    0.2%  __GI___pthread_getspecific
      1    0.0%    0.1%  std::string::find(char const*, unsigned long, unsigned long) const
      1    0.0%    0.1%  std::num_put<char, std::ostreambuf_iterator<char, std::char_traits<char> > >::do_put(std::ostreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, char, long) const
      1    0.0%    0.1%  std::locale::operator=(std::locale const&)
      1    0.0%    0.1%  std::locale::id::_M_id() const
      1    0.0%    0.1%  std::istream::sentry::sentry(std::istream&, bool)
      1    0.0%    0.1%  std::ios_base::_M_dispose_callbacks()
      1    0.0%    0.1%  std::__detail::_Prime_rehash_policy::_M_need_rehash(unsigned long, unsigned long, unsigned long) const
      1    0.0%    0.1%  __vsnprintf
      1    0.0%    0.1%  __read_nocancel
      1    0.0%    0.1%  __pthread_cond_wait
      1    0.0%    0.1%  _IO_fflush

 [Summary]:
   ticks  total  nonlib   name
    423    8.5%   38.1%  JavaScript
    677   13.5%   61.0%  C++
    145    2.9%   13.1%  GC
   3894   77.8%          Shared libraries
     10    0.2%          Unaccounted

 [C++ entry points]:
